名称,住所,緯度,経度
仙台市博物館,日本、〒980-0862 宮城県仙台市青葉区川内２６,38.2559848,140.8566931
仙台文学館,日本、〒981-0902 宮城県仙台市青葉区北根２丁目７−１,38.2964954,140.8762244
地底の森ミュージアム,日本、〒982-0012 宮城県仙台市太白区長町南４丁目３−１,38.2231294,140.8725944
東北歴史博物館,日本、〒985-0862 宮城県多賀城市高崎１丁目２２−１,38.3000183,140.9945562
東北大学総合学術博物館,日本、〒980-0845 宮城県仙台市青葉区荒巻青葉６−３,38.257832,140.8373774
日本こけし館,日本、〒989-6827 宮城県大崎市鳴子温泉尿前７４−２,38.736259,140.697525
ベルギーオルゲールミュージアム,日本、〒981-0213 宮城県宮城郡松島町松島普賢堂33 3,38.3721394,141.0665983
七夕ミュージアム,日本、〒984-0001 宮城県仙台市若林区鶴代町６−６５,38.2574324,140.9560112
山形県,日本、山形県,38.5370564,140.1435198
斎藤茂吉記念館,日本、〒999-3131 山形県上山市北町弁天１４２１,38.1720641,140.2992694
致道博物館,日本、〒997-0036 山形県鶴岡市家中新町１０−１８,38.728401,139.8214209
鶴岡市立藤沢周平記念館,日本、〒997-0035 山形県鶴岡市馬場町４−６,38.727794,139.824989
天童オルゴール博物館,,,
文翔館,日本、〒990-0047 山形県山形市旅篭町３丁目４−５１,38.256637,140.3411866
紅花資料館,日本、〒999-3511 山形県西村山郡河北町谷地戊１１４３,38.438528,140.299762
まほろば・童話の里 浜田広介記念館,日本、〒992-0334 山形県東置賜郡高畠町一本柳２１１０,38.0056594,140.1624661
宮坂考古館,日本、〒992-0026 山形県米沢市東１丁目２−２４,37.9056094,140.126994
最上義光歴史館,日本、〒990-0046 山形県山形市大手町１−５３,38.2550943,140.3334358
山形県立博物館,日本、〒990-0826 山形県山形市霞城町１−８,38.2545075,140.3294875
山形市産業歴史資料館,日本、〒990-2351 山形県山形市鋳物町１０,38.2305651,140.289513
山寺芭蕉記念館,日本、〒999-3301 山形県山形市山寺４２２３,38.3095478,140.4389925
米沢市上杉博物館,日本、〒992-0052 山形県米沢市丸の内１丁目２−１,37.9077288,140.1067915
清河八郎記念館,日本、〒999-6606 山形県東田川郡庄内町清川上川原３７,38.7848,140.025094
福島県,日本、福島県,37.3834373,140.1832516
会津新選組記念館,日本、〒965-0044 福島県会津若松市七日町６−７,37.500555,139.921304
会津藩校日新館,日本、〒969-3441 福島県会津若松市河東町南高野高塚山１０,37.5588569,139.9444977
アウシュヴィッツ平和博物館,日本、〒961-0835 福島県白河市白坂三輪台２４５,37.095732,140.188448
安積歴史博物館,日本、〒963-8851 福島県郡山市開成５丁目２５−６３,37.3917263,140.3506121
いわき市暮らしの伝承郷,日本、〒971-8132 福島県いわき市鹿島町下矢田散野14ｰ16,37.0084221,140.9149238
いわき市考古資料館,日本、〒972-8326 福島県いわき市常磐藤原町手這５０−１,36.996871,140.825399
いわき市石炭・化石館,日本、〒972-8321 福島県いわき市常磐湯本町向田３−１,37.0126168,140.8484916
いわき市立草野心平記念文学館,日本、〒979-3122 福島県いわき市小川町高萩下タ道１−３９,37.12907,140.833277
奥会津博物館,日本、〒967-0014 福島県南会津郡南会津町糸沢西沢山３６９２−２０,37.146078,139.720143
郡山市開成館,日本、〒963-8851 福島県郡山市開成３丁目３−７ 開成館,37.3957605,140.3525788
郡山市ふれあい科学館,日本、〒963-8002 福島県郡山市駅前２丁目１１−１ ビッグアイ 20～24階,37.3999624,140.3882907
郡山市歴史資料館,日本、〒963-8876 福島県郡山市麓山１丁目８−３ 郡山市歴史資料館,37.3945868,140.3730114
こおりやま文学の森資料館,日本、〒963-8016 福島県郡山市豊田町３−５ こおりやま文学の森郡山市文学資料館,37.3959814,140.3631897
事故の歴史展示館,,,
須賀川市立博物館,日本、〒962-0843 福島県須賀川市池上町６,37.291424,140.37921
ただみ・モノとくらしのミュージアム,日本、〒968-0602 福島県南会津郡只見町大倉窪田３０,37.310111,139.4446444
富岡町文化交流センター学びの森,日本、〒979-1151 福島県双葉郡富岡町本岡王塚６２２−１,37.3470002,141.0092402
中山義秀記念文学館,日本、〒969-0309 福島県白河市大信町屋沢田２５,37.202929,140.247362
野口英世記念館,日本、〒969-3284 福島県耶麻郡猪苗代町三ツ和前田81,37.5361755,140.0736453
磐梯山噴火記念館,日本、〒969-2701 福島県耶麻郡北塩原村檜原剣ケ峯１０９３−３６,37.6596722,140.0794528
東日本大震災・原子力災害伝承館,日本、〒979-1401 福島県双葉郡双葉町中野高田39,37.4577624,141.026386
白虎隊伝承史学館,日本、〒965-0003 福島県会津若松市一箕町大字八幡弁天下２−２,37.5051096,139.9523199
白虎隊記念館,日本、〒965-0003 福島県会津若松市一箕町大字八幡弁天下３３,37.504516,139.953268
福島県立博物館,日本、〒965-0807 福島県会津若松市城東町１−２５,37.4887526,139.9346693
福島市飯野UFOふれあい館,日本、〒960-1303 福島県福島市飯野町青木小手神森１−２９９ 千貫森公園,37.6874504,140.5342255
南相馬市博物館,日本、〒975-0051 福島県南相馬市原町区牛来出口１９４,37.6231883,140.963067
関東,日本、関東地方,36.4598667,139.6911374
茨城県,日本、茨城県,36.2193571,140.1832516
古河歴史博物館,日本、〒306-0033 茨城県古河市中央町３丁目１０−５６,36.1909885,139.7011082
土浦市立博物館,日本、〒300-0043 茨城県土浦市中央１丁目１５−１８,36.085224,140.1972
ミュージアムパーク茨城県自然博物館,日本、〒306-0622 茨城県坂東市大崎７００,36.0049307,139.9162694
栃木県,日本、栃木県,36.6714739,139.8547266
小山市立博物館,日本、〒329-0214 栃木県小山市乙女１丁目３１−７,36.2614351,139.7555299
佐野市郷土博物館,日本、〒327-0003 栃木県佐野市大橋町２０４７,36.312874,139.564953
栃木県立博物館,日本、〒320-0865 栃木県宇都宮市睦町２−２,36.5594616,139.8604859
道の駅那須野が原博物館,"1番地 ５丁目, ５丁目 三島 那須塩原市 栃木県 329-2752 日本",36.8996399,139.9690209
壬生町おもちゃ博物館,日本、〒321-0211 栃木県下都賀郡壬生町国谷2273−２３００,36.4620954,139.8083001
栃木県立日光自然博物館,日本、〒321-1661 栃木県日光市中宮祠２４８０−１,36.7386936,139.5000482
大麻博物館,日本、〒325-0303 栃木県那須郡那須町高久１−５,37.0214455,140.0287842
群馬県,日本、群馬県,36.5605388,138.8799972
群馬県立自然史博物館,日本、〒370-2345 群馬県富岡市上黒岩１６７４−１,36.2698979,138.8669273
群馬県立歴史博物館,日本、〒370-1207 群馬県高崎市綿貫町９９２−１,36.2984468,139.0792432
埼玉県,日本、埼玉県,35.9962513,139.4466005
埼玉県立歴史と民俗の博物館,日本、〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目２１９,35.9212089,139.6298005
埼玉県立さきたま史跡の博物館,日本、〒361-0025 埼玉県行田市埼玉４８３４,36.1251443,139.4757033
埼玉県立嵐山史跡の博物館,日本、〒355-0221 埼玉県比企郡嵐山町菅谷７５７,36.0369192,139.3233672
埼玉県立近代美術館,日本、〒330-0061 埼玉県さいたま市浦和区常盤９丁目３０−１,35.8697281,139.6431734
埼玉県立自然の博物館,日本、〒369-1305 埼玉県秩父郡長瀞町長瀞１４１７−１,36.0875,139.1161111
埼玉県立川の博物館,日本、〒369-1217 埼玉県大里郡寄居町小園３９,36.1156935,139.2196059
渋沢栄一記念館,日本、〒366-0002 埼玉県深谷市下手計１２０４,36.234096,139.2638754
角川武蔵野ミュージアム,日本、〒359-0023 埼玉県所沢市東所沢和田３丁目３１−３ ところざわサクラタウン,35.7977186,139.5078028
千葉県,日本、千葉県,35.3354155,140.1832516
我孫子市鳥の博物館,日本、〒270-1145 千葉県我孫子市高野山２３４−３,35.8612961,140.0306467
浦安市郷土博物館,日本、〒279-0004 千葉県浦安市猫実１丁目２−７ 浦安市郷土博物館,35.6552391,139.9010925
九十九里いわし博物館,日本、〒283-0104 千葉県山武郡九十九里町片貝２９８３,35.5357049,140.4408144
航空科学博物館,日本、〒289-1608 千葉県山武郡芝山町岩山１１１−３,35.7403564,140.3977966
国立歴史民俗博物館,日本、〒285-0017 千葉県佐倉市城内町１１７,35.7243611,140.2191306
芝山古墳・はにわ博物館,日本、〒289-1619 千葉県山武郡芝山町芝山４３８−１,35.694,140.428514
千葉県立関宿城博物館,日本、〒270-0201 千葉県野田市関宿三軒家１４３−４ 千葉県立関宿城博物館,36.1005375,139.7825917
千葉県立中央博物館,日本、〒260-0852 千葉県千葉市中央区青葉町９５５−２,35.5998298,140.1384005
流山市立博物館,日本、〒270-0176 千葉県流山市加１丁目１２２５−６,35.8586365,139.9023832
野田市郷土博物館,日本、〒278-0037 千葉県野田市野田３７０−８ 野田市郷土博物館,35.9453469,139.8654482
松戸市立博物館,日本、〒270-2252 千葉県松戸市千駄堀６７１,35.8008972,139.9394704
戸定邸,日本、〒271-0092 千葉県松戸市松戸642番1,35.7776503,139.898927
鈴木貫太郎記念館,日本、〒270-0206 千葉県野田市関宿町１２７３,36.0911801,139.7858187
館山市立博物館,日本、〒294-0036 千葉県館山市館山３５１−２,34.9824345,139.8544468
八犬伝博物館,日本、〒294-0036 千葉県館山市館山３６２,34.9814557,139.8557988
東京都,日本、東京都,35.6761919,139.6503106
