名称,住所,緯度,経度
伊藤清永記念館,日本、〒668-0214 兵庫県豊岡市出石町内町９８,35.4617829,134.8729244
丹波市立植野記念美術館,日本、〒669-3603 兵庫県丹波市氷上町西中６１５−４,35.173267,135.039248
南あわじ市滝川記念美術館玉青館,日本、〒656-0314 兵庫県南あわじ市松帆西路１１３７−１,34.31626,134.734134
和歌山県立近代美術館,日本、〒640-8137 和歌山県和歌山市吹上１丁目４−１４,34.225026,135.171278
熊野古道なかへち美術館,日本、〒646-1402 和歌山県田辺市中辺路町近露８９１,33.8133957,135.6061157
田辺市立美術館,日本、〒646-0015 和歌山県田辺市たきない町２４−４３,33.69741,135.400752
倉吉博物館・倉吉歴史民俗資料館,日本、〒682-0824 鳥取県倉吉市仲ノ町３４４５−８,35.4290462,133.825379
米子市美術館,日本、〒683-0822 鳥取県米子市中町１２ 12番地,35.428774,133.331033
島根県立美術館,日本、〒690-0049 島根県松江市袖師町１−５,35.4597803,133.0528886
島根県立石見美術館,日本、〒698-0022 島根県益田市有明町５−１５,34.6727805,131.848373
江津市水ふれあい公園水の国/MUSEUM104,日本、〒699-4505 島根県江津市桜江町坂本２０２５ 水の国,34.9630807,132.4261866
奈義町現代美術館,日本、〒708-1323 岡山県勝田郡奈義町豊沢４４１,35.1239253,134.1749408
岡山県立美術館,日本、〒700-0814 岡山県岡山市北区天神町８−４８,34.6678937,133.9301662
岡山県総合文化センター,日本、岡山県,34.8963407,133.6375314
岡山市立オリエント美術館,日本、〒700-0814 岡山県岡山市北区天神町９−３１,34.6664575,133.9302965
倉敷市立美術館,日本、〒710-0046 岡山県倉敷市中央２丁目６−１ 倉敷市立美術館,34.5946625,133.7688988
井原市立田中美術館,日本、〒715-0019 岡山県井原市井原町３１５,34.5980313,133.4633885
高梁市成羽美術館,日本、〒716-0111 岡山県高梁市成羽町下原１０６８−３,34.7806679,133.5366416
尾道市立美術館,日本、〒722-0032 広島県尾道市西土堂町１７−１９,34.4099355,133.1957803
広島県立美術館,日本、〒730-0014 広島県広島市中区上幟町２−２２,34.3998332,132.4662606
広島市現代美術館,日本、〒732-0815 広島県広島市南区比治山公園１−１,34.3861254,132.4731744
東広島市立美術館,日本、〒739-0015 広島県東広島市西条栄町９−１,34.4271353,132.7425303
ふくやま美術館,日本、〒720-0067 広島県福山市西町２丁目４−３,34.490952,133.359018
八千代の丘美術館,日本、〒731-0302 広島県安芸高田市八千代町勝田４９４−７,34.6333532,132.6202798
奥田元宋・小由女美術館,日本、〒728-0023 広島県三次市東酒屋町１０４５３−６,34.7765465,132.8684845
山口県立美術館,日本、〒753-0089 山口県山口市亀山町３−１,34.1794962,131.4745135
山口県立萩美術館浦上記念館,日本、〒758-0074 山口県萩市平安古町５８６−１,34.4093192,131.3943601
下関市立美術館,日本、〒752-0986 山口県下関市長府黒門東町１−１,33.9897547,130.9907978
徳島県立近代美術館,日本、〒770-8070 徳島県徳島市八万町向寺山 文化の森総合公園内,34.0395628,134.5266505
相生森林美術館,日本、〒771-5411 徳島県那賀郡那賀町横石大板３４,33.797978,134.452064
香川県立東山魁夷せとうち美術館,日本、〒762-0066 香川県坂出市沙弥島２２４−１３,34.3494188,133.8241242
高松市美術館,日本、〒760-0027 香川県高松市紺屋町１０−４,34.344046,134.049138
高松市塩江美術館,日本、〒761-1611 香川県高松市塩江町安原上６０２,34.1755917,134.0813306
丸亀市猪熊弦一郎現代美術館,日本、〒763-0022 香川県丸亀市浜町８０−１,34.2912146,133.7921947
愛媛県美術館,日本、〒790-0007 愛媛県松山市堀之内,33.8405384,132.7621891
新居浜市立郷土美術館,日本、〒792-0025 愛媛県新居浜市一宮町１丁目５−１,33.960268,133.2827815
今治市河野美術館,日本、〒794-0042 愛媛県今治市旭町１丁目４−８,34.0627888,132.9989056
今治市玉川近代美術館,日本、〒794-0102 愛媛県今治市玉川町大野８６−４,34.0219461,132.9445427
今治市大三島美術館,日本、〒794-1304 愛媛県今治市大三島町宮浦９０９９−１,34.2490933,133.0032432
今治市朝倉ふるさと美術古墳館,日本、〒799-1603 愛媛県今治市朝倉下甲８９８,33.9994997,133.007719
高知県立美術館,日本、〒781-8123 高知県高知市高須３５３−２ 高知県立美術館,33.5613111,133.5731688
福岡県立美術館,日本、〒810-0001 福岡県福岡市中央区天神５丁目２−１ 福岡県立美術館 一階,33.597317,130.3985654
福岡市美術館,日本、〒810-0051 福岡県福岡市中央区大濠公園１−６,33.5841636,130.3796725
福岡アジア美術館,日本、〒812-0027 福岡県福岡市博多区下川端町３−１ リバレインセンタービル 7・8F,33.595182,130.4058401
北九州市立美術館,日本、〒804-0024 福岡県北九州市戸畑区西鞘ケ谷町２１−１,33.8697914,130.8264967
